time,y1,y2
0,10,5
1,14.46927138,NaN
2,20.35593869,NaN
3,41.51095233,NaN
4,57.50739504,NaN
5,73.20593304,NaN
6,79.44835953,NaN
7,42.01438512,NaN
8,16.34119662,NaN
9,4.415549697,NaN
10,2.750045186,NaN
11,2.998899114,NaN
12,5.808089569,NaN
13,7.251788493,NaN
14,6.546738866,NaN
15,9.929608238,NaN
16,15.98231523,NaN
17,21.2096644,NaN
18,37.89509962,NaN
19,53.55556378,NaN
20,68.3482129,NaN
21,79.06247327,NaN
22,40.65538888,NaN
23,12.77440282,NaN
24,5.992052636,NaN
25,0,NaN
26,3.309649519,NaN
27,3.337212436,NaN
28,2.681761445,NaN
29,4.726463386,NaN
30,12.77859618,NaN
