41 3
0 10 0
0.5 NaN 1.69132433390405
1 NaN 2.66665964152082
1.5 NaN 3.52661042815067
2 NaN 4.44912659406448
2.5 NaN 5.04729042702513
3 NaN 5.23476051348133
3.5 NaN 5.76307227097118
4 NaN 5.77303883151421
4.5 NaN 5.71199754988308
5 NaN 5.65517784215497
5.5 NaN 5.54766782373145
6 NaN 5.64292668303085
6.5 NaN 5.38791223524587
7 NaN 4.96152319989853
7.5 NaN 5.0232420585733
8 NaN 5.05002963532758
8.5 NaN 4.55023717631143
9 NaN 4.43421132547689
9.5 NaN 4.34099824756707
10 NaN 4.13970579487264
10.5 NaN 3.98700627954349
11 NaN 3.92839552588459
11.5 NaN 3.71506679419831
12 NaN 3.42776459947453
12.5 NaN 3.31304385174526
13 NaN 2.92338412226164
13.5 NaN 2.81228645547859
14 NaN 2.62015779219093
14.5 NaN 2.33483134948976
15 NaN 2.53112751843471
15.5 NaN 2.00143914073274
16 NaN 2.16333214661705
16.5 NaN 2.03082476272395
17 NaN 1.93704166339443
17.5 NaN 1.8122298017561
18 NaN 1.56454707811775
18.5 NaN 1.57655026011813
19 NaN 1.80020429354367
19.5 NaN 1.69353486737526
20 NaN 1.36756718629096
